"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"PRT","IMMIGINFLOW","HUMNTRN","NBR","A","2011",65,
"PRT","IMMIGINFLOW","HUMNTRN","NBR","A","2012",100,
"PRT","IMMIGINFLOW","HUMNTRN","NBR","A","2013",135,
"PRT","IMMIGINFLOW","HUMNTRN","NBR","A","2014",110,
"PRT","IMMIGINFLOW","HUMNTRN","NBR","A","2015",195,
"PRT","IMMIGINFLOW","HUMNTRN","NBR","A","2016",320,
"PRT","IMMIGINFLOW","HUMNTRN","NBR","A","2017",500,
"PRT","IMMIGINFLOW","HUMNTRN","NBR","A","2018",625,
"PRT","IMMIGINFLOW","HUMNTRN","NBR","A","2019",175,
"PRT","IMMIGINFLOW","OTH","NBR","A","1999",91.141,
"PRT","IMMIGINFLOW","OTH","NBR","A","2000",150.029,
"PRT","IMMIGINFLOW","OTH","NBR","A","2001",106.335,
"PRT","IMMIGINFLOW","OTH","NBR","A","2002",164.585,
"PRT","IMMIGINFLOW","OTH","NBR","A","2003",73.966,
"PRT","IMMIGINFLOW","OTH","NBR","A","2004",1.916,
"PRT","IMMIGINFLOW","OTH","NBR","A","2005",48,
"PRT","IMMIGINFLOW","OTH","NBR","A","2006",91,
"PRT","IMMIGINFLOW","OTH","NBR","A","2007",113,
"PRT","IMMIGINFLOW","OTH","NBR","A","2008",2166,
"PRT","IMMIGINFLOW","OTH","NBR","A","2009",927,
"PRT","IMMIGINFLOW","OTH","NBR","A","2010",842,
"PRT","IMMIGINFLOW","OTH","NBR","A","2011",918,
"PRT","IMMIGINFLOW","OTH","NBR","A","2012",1035,
"PRT","IMMIGINFLOW","OTH","NBR","A","2013",199,
"PRT","IMMIGINFLOW","OTH","NBR","A","2014",967,
"PRT","IMMIGINFLOW","OTH","NBR","A","2015",1142,
"PRT","IMMIGINFLOW","OTH","NBR","A","2016",2041,
"PRT","IMMIGINFLOW","OTH","NBR","A","2017",1835,
"PRT","IMMIGINFLOW","OTH","NBR","A","2018",5750,
"PRT","IMMIGINFLOW","OTH","NBR","A","2019",6192,
"PRT","IMMIGINFLOW","WORK","NBR","A","1999",1928.92,
"PRT","IMMIGINFLOW","WORK","NBR","A","2000",4953.703,
"PRT","IMMIGINFLOW","WORK","NBR","A","2001",3573.742,
"PRT","IMMIGINFLOW","WORK","NBR","A","2002",3271.921,
"PRT","IMMIGINFLOW","WORK","NBR","A","2003",3440.205,
"PRT","IMMIGINFLOW","WORK","NBR","A","2004",5753.858,
"PRT","IMMIGINFLOW","WORK","NBR","A","2005",4030,
"PRT","IMMIGINFLOW","WORK","NBR","A","2006",7202,
"PRT","IMMIGINFLOW","WORK","NBR","A","2007",8815,
"PRT","IMMIGINFLOW","WORK","NBR","A","2008",24667,
"PRT","IMMIGINFLOW","WORK","NBR","A","2009",17665,
"PRT","IMMIGINFLOW","WORK","NBR","A","2010",10660,
"PRT","IMMIGINFLOW","WORK","NBR","A","2011",6953,
"PRT","IMMIGINFLOW","WORK","NBR","A","2012",5659,
"PRT","IMMIGINFLOW","WORK","NBR","A","2013",6055,
"PRT","IMMIGINFLOW","WORK","NBR","A","2014",6121,
