labels,Country Name,Net Migration,PIB per Capita,Total Unemployment (%),human_development_index,Fecha_Numerico,country_code_c
2,Canadá,245309.0,1828366481521.6,7.28999996185303,0.921,734503,33
2,Canadá,242475.0,1846597421834.98,7.07000017166138,0.923,734869,33
2,Canadá,240878.0,1374625142157.29,8.34000015258789,0.909,733408,33
2,Canadá,237962.0,1552989690721.65,6.1399998664856,0.91,733042,33
2,Canadá,232738.0,1556508816217.14,6.90999984741211,0.926,735599,33
2,Canadá,228828.0,1793326630174.52,7.51000022888184,0.915,734138,33
2,Canadá,227724.0,1617343367486.26,8.0600004196167,0.911,733773,33
2,Canadá,224357.0,738981792355.372,7.21999979019165,0.892,730486,33
2,Canadá,210817.0,1468820407783.26,6.03999996185303,0.908,732677,33
2,Australia,109226.0,614326362213.686,5.3899998664856,0.908,731581,11
2,Australia,107886.0,395580786940.142,6.36999988555908,0.902,730851,11
2,Australia,103907.0,467497961560.862,5.92999982833862,0.906,731216,11
2,Alemania,432017.0,3469853463945.53,4.11999988555908,0.941,735964,51
2,Alemania,430803.0,3690849152517.65,3.75,0.944,736330,51
2,Alemania,397921.0,3357585719351.56,4.61999988555908,0.938,735599,51
2,Alemania,392587.0,3974443355019.6,3.38000011444092,0.945,736695,51
2,Alemania,369027.0,3889093051023.52,4.98000001907349,0.937,735234,51
2,Alemania,360560.0,3888226035921.56,3.14000010490417,0.948,737060,51
2,Alemania,342555.0,3733804649549.03,5.23000001907349,0.934,734869,51
2,Alemania,334055.0,3889668895299.62,3.80999994277954,0.944,737425,51
2,Alemania,317082.0,3527143188785.16,5.38000011444092,0.933,734503,51
2,Alemania,293051.0,3749314991050.59,5.82000017166138,0.931,734138,51
2,Alemania,267047.0,3399667820000.01,6.96999979019165,0.926,733773,51
2,Alemania,240968.0,3411261212652.34,7.73999977111816,0.923,733408,51
2,Alemania,211709.0,3745264093617.19,7.51999998092651,0.923,733042,51
2,Alemania,180746.0,3425578382921.58,8.65999984741211,0.921,732677,51
2,Alemania,145046.0,2994703642023.53,10.25,0.917,732312,51
2,Alemania,102694.0,2846864211175.1,11.1700000762939,0.914,731947,51
2,Alemania,73107.0,2814353869359.08,10.7299995422363,0.914,731581,51
2,Alemania,60905.0,1947981991011.77,7.92000007629395,0.889,730120,51
2,Alemania,54381.0,2501640388482.35,9.77999973297119,0.905,731216,51
2,Alemania,48500.0,1945790973803.15,7.76999998092651,0.896,730486,51
2,Alemania,45985.0,2078484517474.51,8.47999954223633,0.901,730851,51
2,España,-144619.0,1324750738725.0,24.7900009155273,0.874,734503,60
2,España,-871.0,1196156971279.69,22.0599994659424,0.889,735599,60
2,Reino Unido,221179.0,2857057847953.02,3.74000000953674,0.935,737060,69
2,Reino Unido,272601.0,2706340967030.68,7.88000011444092,0.909,734503,69
2,Reino Unido,268067.0,2786315215249.95,7.51999998092651,0.922,734869,69
2,Reino Unido,261389.0,3065223279583.79,6.1100001335144,0.924,735234,69
2,Reino Unido,261300.0,2544805454545.45,4.75,0.895,731947,69
2,Reino Unido,254218.0,2934857946213.47,5.30000019073486,0.924,735599,69
2,Reino Unido,247447.0,2422958623214.94,4.59000015258789,0.889,731581,69
2,Reino Unido,246940.0,2699659680997.2,4.80999994277954,0.927,735964,69
2,Reino Unido,239014.0,2683399006715.79,4.32999992370605,0.93,736330,69
2,Reino Unido,230577.0,2878152147315.82,4.0,0.929,736695,69
2,Reino Unido,230387.0,2056612244897.96,4.80999994277954,0.878,731216,69
2,Reino Unido,211063.0,2704609160088.15,4.47200012207031,0.924,737425,69
2,Reino Unido,277521.0,2666403005061.42,8.03999996185303,0.908,734138,69
2,Reino Unido,210510.0,1785843824940.05,5.03999996185303,0.873,730851,69
2,Reino Unido,186701.0,1648658413703.76,4.69999980926514,0.868,730486,69
2,Reino Unido,161157.0,1666126494174.61,5.55999994277954,0.862,730120,69
2,Italia,485871.0,2213102482751.46,6.07999992370605,0.877,732677,96
2,Italia,478254.0,1577621707050.51,8.86999988555908,0.858,731216,96
2,Italia,417189.0,1806542968545.56,7.86999988555908,0.865,731581,96
2,Italia,413349.0,2408655348718.59,6.71999979019165,0.878,733042,96
2,Italia,280126.0,2199928804118.63,7.75,0.878,733408,96
2,Italia,270043.0,2136099955236.67,8.35999965667725,0.882,733773,96
2,Italia,250910.0,1858217147203.73,7.73000001907349,0.868,731947,96
2,Reino Unido,272651.0,2709911683532.66,5.34999990463257,0.894,732312,69
2,Reino Unido,279808.0,3092821128451.38,5.26000022888184,0.897,732677,69
2,España,57170.0,1480710495710.12,21.3899993896484,0.872,734138,60
2,Reino Unido,281588.0,2491397494467.95,7.78999996185303,0.912,733773,69
2,Reino Unido,284800.0,2417638261411.43,7.53999996185303,0.906,733408,69
2,Reino Unido,283762.0,2931501838235.29,5.61999988555908,0.9,733042,69
2,Italia,249033.0,2086957656821.6,10.6499996185303,0.883,734503,96
2,Italia,222527.0,1276769338449.3,9.21000003814697,0.853,730851,96
2,Italia,210398.0,1949551719389.64,6.78000020980835,0.873,732312,96
2,España,658689.0,1260398977831.76,8.44999980926514,0.856,732312,60
2,Francia,18807.0,2439188643162.5,10.3500003814697,0.892,735599,65
2,Francia,18335.0,2639008701648.26,8.01000022888184,0.898,737425,65
2,Francia,17403.0,2728870246705.88,8.40999984741211,0.905,737060,65
